id,name,artist_id,artist_name,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url
3ac536Eml3t9d7CUVzMAia,If You Want To,1QMgre3BHX161ZHtWMUu6S,Dimension,2021-02-13T23:12:35Z,230344,2019-08-09,True,43,https://p.scdn.co/mp3-preview/9c4190bb9c1b5f19532db035b597c932b64f6130?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2736c895b8c043d2f8b1006b34e
06bsYuzrcul49rv8VA3s6F,Freedom,4CWpoyuE7e9NvBkUSTmJfq,RŮDE,2021-02-13T21:28:22Z,223725,2019-11-01,False,35,https://p.scdn.co/mp3-preview/0e093a4f114a54b25d59799d91ea83ee27654c09?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273e89828990c21c1509a4ee226
6R2pHq4pApqWlnoUoms9KX,Forever Lotus,4CWpoyuE7e9NvBkUSTmJfq,RŮDE,2021-02-13T20:21:52Z,222380,2017-08-07,False,53,https://p.scdn.co/mp3-preview/f98f223f2e26a818de1e21e52f97b843e558fc68?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273097f3d06dd8726a91f526e21
2XmEDW2SUbYYt5o2cxSEz4,Loneliness,4CWpoyuE7e9NvBkUSTmJfq,RŮDE,2021-02-13T20:21:48Z,192407,2018-07-03,False,57,https://p.scdn.co/mp3-preview/4f94a298e124148a3699dccda88d59c84d31f742?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2734d7930d9a029a2c1bb2a3988
0ytvsZOerGzUWfHXVT2Sgy,Eternal Youth,4CWpoyuE7e9NvBkUSTmJfq,RŮDE,2021-02-13T20:21:46Z,205766,2017-08-07,False,75,https://p.scdn.co/mp3-preview/75fdcd7cdd55719a7e4370189dc3e8c06e08bef8?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273097f3d06dd8726a91f526e21
2JPxMMWWLPz50bLqdfxgjg,Got 2 Know,7muzHifhMdnfN1xncRLOqk,Flux Pavilion,2021-02-03T23:43:14Z,350098,2010-05-24,False,41,https://p.scdn.co/mp3-preview/ac35793c3d156eadb49dd3304d43cd8b5ccc0c29?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b27304a22587832bc9cf8025f842
3Nlq1iM31vOPARfaS43CUc,In For The Kill - Skream's Let's Get Ravey Remix,3K2zB87GZv1krx031en5VA,La Roux,2021-02-03T23:27:20Z,304360,2009-01-01,False,44,https://p.scdn.co/mp3-preview/41b74509300861c359c0d323ad10b9e4fff7bf5b?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2731799afb614b919720865d239
1MJYl90ZKesAiLB6XNi7jV,Getting High & Eating Stuff With Cream,3tUS9mNjww0E2uwqbHbHz1,Max Wassen,2021-01-26T21:35:12Z,337256,2019-12-27,True,35,https://p.scdn.co/mp3-preview/92b4dd8b5c275f79a7af9aca7ebb6da4878202c5?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273bceccfb6838f2f522354b601
4IdiGMOzEYXOh2897XOV8i,Touch It / Technologic,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2021-01-15T01:01:43Z,329653,2007-11-16,False,48,https://p.scdn.co/mp3-preview/71c958b90ea51e487f842e132236008c5986ef9e?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273673288fb985e5c194536ae27
4l2bO887Yauqos4LwkCwBm,"Episode 1, Giorgio Moroder",4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,2021-01-13T00:47:34Z,473506,2013-05-14,False,31,https://p.scdn.co/mp3-preview/9eb5e96962198a91d1c02227c6d80872ce8568cd?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273efbba7082b953018c0da26e3
